#,Name,Yr,Pos,era,w,l,app,gs,sv,ip,h,r,er,bb,k,k/9,hr,whip,bf,wp,hbp,team
7,"Tim
                                                                        Dillehay",Sr,P,9.00,0,1,10,2,2,15.0,21,15,15,5,7,4.20,1,1.73,74,1,7,Bethel (IN)
26,"Noah
                                                                        Borwege",Sr,P,12.12,0,7,10,9,1,32.2,43,53,44,36,44,12.12,2,2.42,195,10,18,Bethel (IN)
25,"Luke
                                                                        Mast",Fr,INF/OF,12.84,0,1,11,1,1,20.1,30,33,29,19,16,7.08,3,2.41,115,1,3,Bethel (IN)
30,"Noah
                                                                        Lyons",Fr,P,14.00,0,1,12,0,1,18.0,27,31,28,20,11,5.50,4,2.61,107,5,9,Bethel (IN)
34,"Lucas
                                                                        Nowacki",So,P,18.36,1,2,11,2,0,16.2,20,37,34,25,11,5.94,2,2.70,105,3,10,Bethel (IN)
17,"Jace
                                                                        Stoops",SR,RHP,1.73,5,2,15,0,3,26.0,15,7,5,8,26,9.00,1,.88,105,1,5,Marian (IN)
23,"Seth
                                                                        Hogg",So,INF,2.20,2,3,7,5,0,32.2,31,15,8,15,26,7.16,1,1.41,147,5,2,Marian (IN)
15,"Chris
                                                                        Adams",Sr,RHP,4.50,1,2,15,3,2,40.0,30,27,20,38,62,13.95,4,1.70,196,7,8,Marian (IN)
20,"Davis
                                                                        Enfield",Sr,RHP,4.59,7,4,13,12,0,64.2,71,45,33,22,68,9.46,7,1.44,295,8,5,Marian (IN)
33,"Eli
                                                                        Loichinger",Fr,RHP,6.75,3,4,14,7,0,46.2,50,42,35,25,46,8.87,6,1.61,229,10,9,Marian (IN)
8,"Logan
                                                                        Drook",Jr,RHP,6.98,1,5,12,11,0,38.2,34,37,30,32,31,7.22,5,1.71,201,10,16,Marian (IN)
19,"Damien
                                                                        Wallace",Sr,RHP,7.14,1,4,13,8,0,46.2,49,39,37,25,42,8.10,7,1.59,213,5,5,Marian (IN)
27,"Eric
                                                                        Pettipiece",Sr,P,3.55,4,6,11,11,0,58.1,53,30,23,34,47,7.25,5,1.49,271,6,2,Goshen (IN)
29,"Giacomo
                                                                        Padilla",Sr,P,7.88,1,5,10,8,2,32.0,29,31,28,24,29,8.16,1,1.66,157,2,7,Goshen (IN)
34,"Logan
                                                                        Wilson",Fr,P,8.91,0,8,11,7,0,34.1,41,44,34,34,30,7.86,3,2.18,191,12,12,Goshen (IN)
9,"Dakota
                                                                        Perry",Fr,P,9.40,0,2,12,4,0,29.2,45,38,31,17,20,6.07,2,2.09,156,3,13,Goshen (IN)
19,"Corey
                                                                        Brown",So,P,10.36,1,4,10,3,0,24.1,38,38,28,24,16,5.92,4,2.55,148,6,10,Goshen (IN)
11,"Lance
                                                                        Wilson",Jr,P,10.93,0,2,13,3,0,28.0,42,37,34,19,21,6.75,4,2.18,157,10,8,Goshen (IN)
45,"Brandon
                                                                        Wright",Fr,P,11.25,1,3,11,2,0,24.0,30,34,30,16,18,6.75,1,1.92,129,10,11,Goshen (IN)
16,"Josh
                                                                        Murphy",Sr,P,11.66,0,1,16,1,0,14.2,21,20,19,17,9,5.52,4,2.59,85,-,6,Goshen (IN)
21,"Pedro
                                                                        Hernandez",Fr,P/INF/OF,12.23,0,1,13,1,0,17.2,30,27,24,18,14,7.13,4,2.72,105,2,4,Goshen (IN)
36,"Dylan
                                                                        Pearson",Fr,INF/P,16.57,0,3,8,2,0,14.2,21,33,27,25,12,7.36,4,3.14,98,11,6,Goshen (IN)
